Object,State,Time,Utilization
TaskExecuter2,Cleaning,0.000000,0.443719
TaskExecuter2,Accelerating,0.000000,0.443719
TaskExecuter2,Maxspeed,0.000000,0.443719
TaskExecuter2,Decelerating,0.000000,0.443719
TaskExecuter2,Accumulating,0.000000,0.443719
TaskExecuter2,Idle,200063.080401,0.443719
TaskExecuter2,Blocked,136155.811604,0.443719
TaskExecuter2,Empty,0.000000,0.443719
TaskExecuter2,Waiting for operator,220.000000,0.443719
TaskExecuter2,Waiting for transporter,0.000000,0.443719
TaskExecuter2,Breakdown,0.000000,0.443719
TaskExecuter2,Down,0.000000,0.443719
TaskExecuter2,Starved,0.000000,0.443719
TaskExecuter2,Repair,0.000000,0.443719
TaskExecuter2,Maintenance,0.000000,0.443719
TaskExecuter2,Lunch,0.000000,0.443719
TaskExecuter2,On break,0.000000,0.443719
TaskExecuter2,Suspend,0.000000,0.443719
TaskExecuter2,Available,0.000000,0.443719
TaskExecuter2,Standby,0.000000,0.443719
TaskExecuter2,Stopped,0.000000,0.443719
TaskExecuter2,Waiting,0.000000,0.443719
TaskExecuter3,Processing,0.000000,0.440705
TaskExecuter3,Busy,0.000000,0.440705
TaskExecuter3,Generating,0.000000,0.440705
TaskExecuter3,Collecting,0.000000,0.440705
TaskExecuter3,Releasing,0.000000,0.440705
TaskExecuter3,Conveying,0.000000,0.440705
TaskExecuter3,Travel empty,105905.638723,0.440705
TaskExecuter3,Travel loaded,102013.720209,0.440705
TaskExecuter3,Offset travel empty,0.000000,0.440705
TaskExecuter3,Offset travel loaded,0.000000,0.440705
TaskExecuter3,Loading,29310.000000,0.440705
TaskExecuter3,Unloading,29309.151202,0.440705
TaskExecuter3,Setup,0.000000,0.440705
TaskExecuter3,Utilize,0.000000,0.440705
TaskExecuter3,Full,0.000000,0.440705
TaskExecuter3,Not empty,0.000000,0.440705
TaskExecuter3,Filling,0.000000,0.440705
TaskExecuter3,Mixing,0.000000,0.440705
TaskExecuter3,Flowing,0.000000,0.440705
TaskExecuter3,Allocated idle,0.000000,0.440705
TaskExecuter3,Change over,0.000000,0.440705
TaskExecuter3,Preprocessing,0.000000,0.440705
TaskExecuter3,Postprocessing,0.000000,0.440705
TaskExecuter3,Inspecting,0.000000,0.440705
TaskExecuter3,Operating,0.000000,0.440705
TaskExecuter3,Purging,0.000000,0.440705
TaskExecuter3,Cleaning,0.000000,0.440705
TaskExecuter3,Accelerating,0.000000,0.440705
TaskExecuter3,Maxspeed,0.000000,0.440705
TaskExecuter3,Decelerating,0.000000,0.440705
TaskExecuter3,Accumulating,0.000000,0.440705
TaskExecuter3,Idle,202254.958419,0.440705
TaskExecuter3,Blocked,135886.531447,0.440705
TaskExecuter3,Empty,0.000000,0.440705
TaskExecuter3,Waiting for operator,120.000000,0.440705
TaskExecuter3,Waiting for transporter,0.000000,0.440705
TaskExecuter3,Breakdown,0.000000,0.440705
TaskExecuter3,Down,0.000000,0.440705
TaskExecuter3,Starved,0.000000,0.440705
TaskExecuter3,Repair,0.000000,0.440705
TaskExecuter3,Maintenance,0.000000,0.440705
TaskExecuter3,Lunch,0.000000,0.440705
TaskExecuter3,On break,0.000000,0.440705
TaskExecuter3,Suspend,0.000000,0.440705
TaskExecuter3,Available,0.000000,0.440705
TaskExecuter3,Standby,0.000000,0.440705
TaskExecuter3,Stopped,0.000000,0.440705
TaskExecuter3,Waiting,0.000000,0.440705
TaskExecuter4,Processing,0.000000,0.450187
TaskExecuter4,Busy,0.000000,0.450187
TaskExecuter4,Generating,0.000000,0.450187
TaskExecuter4,Collecting,0.000000,0.450187
TaskExecuter4,Releasing,0.000000,0.450187
TaskExecuter4,Conveying,0.000000,0.450187
TaskExecuter4,Travel empty,107254.349132,0.450187
TaskExecuter4,Travel loaded,105253.840532,0.450187
TaskExecuter4,Offset travel empty,0.000000,0.450187
TaskExecuter4,Offset travel loaded,0.000000,0.450187
TaskExecuter4,Loading,29885.071315,0.450187
TaskExecuter4,Unloading,29880.000000,0.450187
TaskExecuter4,Setup,0.000000,0.450187
TaskExecuter4,Utilize,0.000000,0.450187
TaskExecuter4,Full,0.000000,0.450187
TaskExecuter4,Not empty,0.000000,0.450187
TaskExecuter4,Filling,0.000000,0.450187
TaskExecuter4,Mixing,0.000000,0.450187
TaskExecuter4,Flowing,0.000000,0.450187
TaskExecuter4,Allocated idle,0.000000,0.450187
TaskExecuter4,Change over,0.000000,0.450187
TaskExecuter4,Preprocessing,0.000000,0.450187
TaskExecuter4,Postprocessing,0.000000,0.450187
TaskExecuter4,Inspecting,0.000000,0.450187
TaskExecuter4,Operating,0.000000,0.450187
TaskExecuter4,Purging,0.000000,0.450187
TaskExecuter4,Cleaning,0.000000,0.450187
TaskExecuter4,Accelerating,0.000000,0.450187
TaskExecuter4,Maxspeed,0.000000,0.450187
TaskExecuter4,Decelerating,0.000000,0.450187
TaskExecuter4,Accumulating,0.000000,0.450187
TaskExecuter4,Idle,197819.919386,0.450187
TaskExecuter4,Blocked,134546.819635,0.450187
TaskExecuter4,Empty,0.000000,0.450187
TaskExecuter4,Waiting for operator,160.000000,0.450187
TaskExecuter4,Waiting for transporter,0.000000,0.450187
TaskExecuter4,Breakdown,0.000000,0.450187
TaskExecuter4,Down,0.000000,0.450187
TaskExecuter4,Starved,0.000000,0.450187
TaskExecuter4,Repair,0.000000,0.450187
TaskExecuter4,Maintenance,0.000000,0.450187
TaskExecuter4,Lunch,0.000000,0.450187
TaskExecuter4,On break,0.000000,0.450187
TaskExecuter4,Suspend,0.000000,0.450187
TaskExecuter4,Available,0.000000,0.450187
TaskExecuter4,Standby,0.000000,0.450187
TaskExecuter4,Stopped,0.000000,0.450187
TaskExecuter4,Waiting,0.000000,0.450187
TaskExecuter5,Processing,0.000000,0.447914
TaskExecuter5,Busy,0.000000,0.447914
TaskExecuter5,Generating,0.000000,0.447914
TaskExecuter5,Collecting,0.000000,0.447914
TaskExecuter5,Releasing,0.000000,0.447914
TaskExecuter5,Conveying,0.000000,0.447914
TaskExecuter5,Travel empty,106820.178291,0.447914
TaskExecuter5,Travel loaded,104408.322869,0.447914
TaskExecuter5,Offset travel empty,0.000000,0.447914
TaskExecuter5,Offset travel loaded,0.000000,0.447914
TaskExecuter5,Loading,29840.000000,0.447914
TaskExecuter5,Unloading,29830.000000,0.447914
TaskExecuter5,Setup,0.000000,0.447914
TaskExecuter5,Utilize,0.000000,0.447914
TaskExecuter5,Full,0.000000,0.447914
TaskExecuter5,Not empty,0.000000,0.447914
TaskExecuter5,Filling,0.000000,0.447914
TaskExecuter5,Mixing,0.000000,0.447914
TaskExecuter5,Flowing,0.000000,0.447914
TaskExecuter5,Allocated idle,0.000000,0.447914
TaskExecuter5,Change over,0.000000,0.447914
TaskExecuter5,Preprocessing,0.000000,0.447914
TaskExecuter5,Postprocessing,0.000000,0.447914
TaskExecuter5,Inspecting,0.000000,0.447914
TaskExecuter5,Operating,0.000000,0.447914
TaskExecuter5,Purging,0.000000,0.447914
TaskExecuter5,Cleaning,0.000000,0.447914
TaskExecuter5,Accelerating,0.000000,0.447914
TaskExecuter5,Maxspeed,0.000000,0.447914
TaskExecuter5,Decelerating,0.000000,0.447914
TaskExecuter5,Accumulating,0.000000,0.447914
TaskExecuter5,Idle,198972.025993,0.447914
TaskExecuter5,Blocked,134819.472847,0.447914
TaskExecuter5,Empty,0.000000,0.447914
TaskExecuter5,Waiting for operator,110.000000,0.447914
TaskExecuter5,Waiting for transporter,0.000000,0.447914
TaskExecuter5,Breakdown,0.000000,0.447914
TaskExecuter5,Down,0.000000,0.447914
TaskExecuter5,Starved,0.000000,0.447914
TaskExecuter5,Repair,0.000000,0.447914
TaskExecuter5,Maintenance,0.000000,0.447914
